,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
103,0.17204581607471814,0.10366043177517978,0.8058361391694725,0.9875418073429347,entropy,log2,40,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 40}",143,0.7682926829268293,0.9876390605686032,0.825,0.9901356350184957,0.8518518518518519,0.9876543209876543,0.8024691358024691,0.991358024691358,0.8024691358024691,0.9901234567901235,0.8888888888888888,0.9827160493827161,0.8024691358024691,0.9876543209876543,0.7654320987654321,0.9851851851851852,0.7777777777777778,0.9839506172839506,0.8148148148148148,0.9901234567901235,0.7654320987654321,0.9864197530864197,0.019669393377194644,0.0010868488606122254,0.0368926063701211,0.002656951792544704
104,0.18397478623823685,0.11022947051308372,0.8058361391694725,0.9884398136385514,entropy,log2,50,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 50}",143,0.7682926829268293,0.9888751545117429,0.85,0.9901356350184957,0.8395061728395061,0.9876543209876543,0.7654320987654321,0.9901234567901235,0.7777777777777778,0.9901234567901235,0.8765432098765432,0.9876543209876543,0.8024691358024691,0.9888888888888889,0.7530864197530864,0.9901234567901235,0.8024691358024691,0.9827160493827161,0.8271604938271605,0.9888888888888889,0.8024691358024691,0.9876543209876543,0.026566342949918942,0.010191844859191496,0.03714525513496751,0.0020579138851407005
105,0.18595010584050958,0.12650190700184216,0.8148148148148148,0.9888888858097775,entropy,log2,60,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 60}",61,0.7926829268292683,0.9888751545117429,0.85,0.9889025893958077,0.8148148148148148,0.9876543209876543,0.7901234567901234,0.9901234567901235,0.8024691358024691,0.991358024691358,0.8888888888888888,0.9888888888888889,0.8148148148148148,0.9901234567901235,0.7530864197530864,0.9888888888888889,0.8024691358024691,0.9864197530864197,0.8271604938271605,0.9888888888888889,0.8271604938271605,0.9876543209876543,0.017325837967924723,0.02074032766124835,0.03335112169417061,0.001289477384270868
106,0.2264751521023837,0.11342115835710005,0.813692480359147,0.9892253090264365,entropy,log2,70,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 70}",68,0.7804878048780488,0.9876390605686032,0.8625,0.9901356350184957,0.8518518518518519,0.9888888888888889,0.7901234567901234,0.991358024691358,0.7777777777777778,0.9901234567901235,0.8888888888888888,0.9888888888888889,0.8148148148148148,0.9901234567901235,0.7654320987654321,0.9888888888888889,0.7901234567901234,0.9876543209876543,0.8148148148148148,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.04666508956445961,0.012609959928418034,0.037311064719790434,0.001190450803392748
107,0.316504413431341,0.12924224680120294,0.813692480359147,0.9894499146486523,entropy,log2,80,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 80}",68,0.7926829268292683,0.9888751545117429,0.8375,0.9901356350184957,0.8395061728395061,0.9888888888888889,0.8024691358024691,0.991358024691358,0.7901234567901234,0.991358024691358,0.8888888888888888,0.9876543209876543,0.7901234567901234,0.9901234567901235,0.7654320987654321,0.9901234567901235,0.8024691358024691,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.02985560534940911,0.020594590441035017,0.031912001051825865,0.0013290641358464827
108,0.28567051887512207,0.11957461183721368,0.8069584736251403,0.9894499146486523,entropy,log2,90,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 90}",134,0.7926829268292683,0.9888751545117429,0.85,0.9901356350184957,0.8271604938271605,0.9888888888888889,0.7777777777777778,0.991358024691358,0.7777777777777778,0.991358024691358,0.9012345679012346,0.9888888888888889,0.7901234567901234,0.9888888888888889,0.7407407407407407,0.9901234567901235,0.7777777777777778,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.061197332024936275,0.017007556980198464,0.04158747752803893,0.0012203654610443235
109,0.359480619430542,0.11397407271645286,0.8092031425364759,0.989562148094219,entropy,log2,100,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 100}",111,0.7682926829268293,0.9888751545117429,0.8625,0.9901356350184957,0.8271604938271605,0.9888888888888889,0.8024691358024691,0.991358024691358,0.7777777777777778,0.991358024691358,0.8888888888888888,0.9888888888888889,0.7777777777777778,0.9901234567901235,0.7654320987654321,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.03466314053072143,0.011731617302900895,0.03793109695279339,0.0012203784713800366
110,0.37279410795731976,0.11780077760869806,0.8103254769921436,0.989562148094219,entropy,log2,110,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 110}",100,0.7682926829268293,0.9888751545117429,0.8625,0.9901356350184957,0.8271604938271605,0.9888888888888889,0.7901234567901234,0.991358024691358,0.8024691358024691,0.991358024691358,0.8888888888888888,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.7530864197530864,0.9901234567901235,0.7777777777777778,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.8271604938271605,0.9876543209876543,0.020654950316134,0.013984780455843318,0.038979285939925515,0.0012203784713800366
111,0.3794166391546076,0.1263885281302712,0.8069584736251403,0.989562148094219,entropy,log2,120,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 120}",134,0.7682926829268293,0.9888751545117429,0.8625,0.9901356350184957,0.8518518518518519,0.9888888888888889,0.7901234567901234,0.991358024691358,0.8024691358024691,0.991358024691358,0.9012345679012346,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.7407407407407407,0.9901234567901235,0.7777777777777778,0.9876543209876543,0.7777777777777778,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.0226542742568807,0.02505754963866402,0.04492438142052269,0.0012203784713800366
112,0.44446982036937366,0.14020120013843884,0.8058361391694725,0.989562148094219,entropy,log2,130,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 130}",143,0.7682926829268293,0.9888751545117429,0.8375,0.9901356350184957,0.8395061728395061,0.9888888888888889,0.8024691358024691,0.991358024691358,0.7901234567901234,0.991358024691358,0.8888888888888888,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.7654320987654321,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.7901234567901234,0.9901234567901235,0.8024691358024691,0.9876543209876543,0.05135546995718999,0.017779080369671595,0.03449806139488674,0.0012203784713800366
