,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_AddPoly__degree,param_LR__C,param_LR__penalty,param_LR__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
22,1.7691335201263427,0.045020437240600585,0.8080808080808081,0.9276715920129511,3,10,l1,liblinear,"{'AddPoly__degree': 3, 'LR__C': 10, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",53,0.7666666666666667,0.9325842696629213,0.7888888888888889,0.9238451935081149,0.7415730337078652,0.9389027431421446,0.797752808988764,0.9177057356608479,0.8539325842696629,0.9276807980049875,0.7865168539325843,0.9276807980049875,0.7865168539325843,0.9276807980049875,0.8089887640449438,0.9301745635910225,0.898876404494382,0.9201995012468828,0.8522727272727273,0.9302615193026152,0.8270418864567616,0.003991051078687005,0.044522568044323,0.0057709423882194655
23,11.791009497642516,0.057918548583984375,0.8215488215488216,0.8464898437702306,3,10,l1,saga,"{'AddPoly__degree': 3, 'LR__C': 10, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",21,0.8,0.8489388264669163,0.8111111111111111,0.8426966292134831,0.7640449438202247,0.8553615960099751,0.8539325842696629,0.844139650872818,0.8764044943820225,0.8416458852867831,0.797752808988764,0.8516209476309227,0.8089887640449438,0.8428927680798005,0.7865168539325843,0.8491271820448878,0.8539325842696629,0.8453865336658354,0.8636363636363636,0.8430884184308842,1.9284098791972493,0.012362689896759706,0.035611022849577394,0.004325402203523766
24,10.582856607437133,0.05530121326446533,0.7654320987654321,0.9486226518473322,3,100,l1,liblinear,"{'AddPoly__degree': 3, 'LR__C': 100, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",63,0.7111111111111111,0.9500624219725343,0.7222222222222222,0.947565543071161,0.6629213483146067,0.9625935162094763,0.7528089887640449,0.940149625935162,0.8539325842696629,0.9476309226932669,0.7752808988764045,0.9488778054862843,0.7078651685393258,0.9551122194513716,0.7752808988764045,0.9501246882793017,0.8651685393258427,0.940149625935162,0.8295454545454546,0.9439601494396015,7.932393291527886,0.02829842282693684,0.06391078037423971,0.0063962329862746106
25,11.772361373901367,0.06253690719604492,0.8204264870931538,0.8464898441579412,3,100,l1,saga,"{'AddPoly__degree': 3, 'LR__C': 100, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",27,0.7888888888888889,0.8489388264669163,0.8111111111111111,0.8439450686641697,0.7640449438202247,0.8541147132169576,0.8539325842696629,0.844139650872818,0.8764044943820225,0.8416458852867831,0.797752808988764,0.8516209476309227,0.8089887640449438,0.8416458852867831,0.7865168539325843,0.8491271820448878,0.8539325842696629,0.8453865336658354,0.8636363636363636,0.8443337484433375,2.39048250434514,0.02511955956809609,0.03643797011923216,0.004027569057779022
26,144.1329798221588,0.11250200271606445,0.7497194163860831,0.957975211829801,3,1000,l1,liblinear,"{'AddPoly__degree': 3, 'LR__C': 1000, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",65,0.7111111111111111,0.9600499375780275,0.7333333333333333,0.9612983770287141,0.6741573033707865,0.9675810473815462,0.7078651685393258,0.9551122194513716,0.8202247191011236,0.9538653366583542,0.797752808988764,0.956359102244389,0.6853932584269663,0.9588528678304239,0.7528089887640449,0.9551122194513716,0.8426966292134831,0.9513715710723192,0.7727272727272727,0.9601494396014943,153.50350786934692,0.0663354029924373,0.05458990530994716,0.0043888716438752785
27,11.368023753166199,0.06553900241851807,0.8215488215488216,0.8467393763823117,3,1000,l1,saga,"{'AddPoly__degree': 3, 'LR__C': 1000, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",21,0.8,0.8489388264669163,0.8111111111111111,0.8451935081148564,0.7640449438202247,0.8553615960099751,0.8539325842696629,0.844139650872818,0.8764044943820225,0.8416458852867831,0.797752808988764,0.8503740648379052,0.8089887640449438,0.8428927680798005,0.7865168539325843,0.8491271820448878,0.8539325842696629,0.8453865336658354,0.8636363636363636,0.8443337484433375,2.6991886164332692,0.030523291381465447,0.035611022849577394,0.0039445961216365046
28,0.1455984354019165,0.004696369171142578,0.7912457912457912,0.8035916138187202,2,0.001,l2,newton-cg,"{'AddPoly__degree': 2, 'LR__C': 0.001, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",58,0.7222222222222222,0.8077403245942572,0.7444444444444445,0.7965043695380774,0.7415730337078652,0.8117206982543641,0.8314606741573034,0.7917705735660848,0.797752808988764,0.8067331670822943,0.8202247191011236,0.8017456359102244,0.8089887640449438,0.8092269326683291,0.8089887640449438,0.8054862842892768,0.797752808988764,0.8054862842892768,0.8409090909090909,0.7995018679950187,0.03378830357118709,0.0006587306525992128,0.038850018479226624,0.005849779672590949
29,0.03882501125335693,0.004575133323669434,0.7912457912457912,0.8035916138187202,2,0.001,l2,lbfgs,"{'AddPoly__degree': 2, 'LR__C': 0.001, 'LR__penalty': 'l2', 'LR__solver': 'lbfgs'}",58,0.7222222222222222,0.8077403245942572,0.7444444444444445,0.7965043695380774,0.7415730337078652,0.8117206982543641,0.8314606741573034,0.7917705735660848,0.797752808988764,0.8067331670822943,0.8202247191011236,0.8017456359102244,0.8089887640449438,0.8092269326683291,0.8089887640449438,0.8054862842892768,0.797752808988764,0.8054862842892768,0.8409090909090909,0.7995018679950187,0.003226411139901934,6.08898132911578e-05,0.038850018479226624,0.005849779672590949
30,0.4191244602203369,0.004454588890075684,0.792368125701459,0.8042150552152292,2,0.001,l2,sag,"{'AddPoly__degree': 2, 'LR__C': 0.001, 'LR__penalty': 'l2', 'LR__solver': 'sag'}",56,0.7222222222222222,0.8052434456928839,0.7444444444444445,0.7990012484394506,0.7528089887640449,0.814214463840399,0.8426966292134831,0.7905236907730673,0.8089887640449438,0.8067331670822943,0.8202247191011236,0.8017456359102244,0.8089887640449438,0.8104738154613467,0.8089887640449438,0.8092269326683291,0.7865168539325843,0.8054862842892768,0.8295454545454546,0.7995018679950187,0.012438528832281283,0.0003182458393160159,0.03792825645763628,0.006451690265694849
31,0.15567009449005126,0.0045035362243652345,0.8260381593714927,0.836762909556875,2,0.01,l2,newton-cg,"{'AddPoly__degree': 2, 'LR__C': 0.01, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",9,0.7888888888888889,0.8389513108614233,0.8444444444444444,0.83270911360799,0.7640449438202247,0.8453865336658354,0.8651685393258427,0.8291770573566085,0.8764044943820225,0.8329177057356608,0.8089887640449438,0.8428927680798005,0.8314606741573034,0.8379052369077307,0.8089887640449438,0.8403990024937655,0.8202247191011236,0.8341645885286783,0.8522727272727273,0.8331257783312578,0.02626691033863559,0.00023127402950462732,0.033108989340907516,0.004898992197582941
